bairro;cidade;lat;lng;zona
santa cruz do jose jacques;ribeirao preto - sp;-21.2025068;-47.79767589999999;sul
santa martha;ribeirao preto - sp;-21.211979;-47.844064;sul
snta cecilia;ribeirao preto - sp;-21.1924988;-47.8088008;sul
solar boa vista;ribeirao preto - sp;-21.1859851;-47.8421123;oeste
sumarezinho;ribeirao preto - sp;-21.1626169;-47.8266788;oeste
valencia;ribeirao preto - sp;-21.2560856;-47.79422839999999;sul
valentina figueiredo;ribeirao preto - sp;-21.1196999;-47.8063134;norte
veredas de ribeirao;ribeirao preto - sp;-21.1694018;-47.8110855;sul
vila abranches;ribeirao preto - sp;-21.18607;-47.75574229999999;leste
vila albertina;ribeirao preto - sp;-21.1508031;-47.8155695;norte
vila amelia;ribeirao preto - sp;-21.157049;-47.8242099;oeste
vila ana maria;ribeirao preto - sp;-21.2085066;-47.81927229999999;sul
vila brasil;ribeirao preto - sp;-21.1387571;-47.7760883;norte
vila carvalho;ribeirao preto - sp;-21.1424478;-47.792124;norte
vila do golf;ribeirao preto - sp;-21.2349155;-47.8391975;sul
vila elisa;ribeirao preto - sp;-21.1337231;-47.7871894;norte
vila guiomar;ribeirao preto - sp;-21.1963234;-47.8266788;oeste
vila hipica;ribeirao preto - sp;-21.1783184;-47.7358579;leste
vila maria luiza;ribeirao preto - sp;-21.1593076;-47.8316171;oeste
vila mariana;ribeirao preto - sp;-21.1489143;-47.7896566;norte
vila monte alegre;ribeirao preto - sp;-21.163974;-47.8390253;oeste
vila pompeia;ribeirao preto - sp;-21.1401974;-47.8242099;norte
vila recreio;ribeirao preto - sp;-21.1459707;-47.8207443;norte
vila seixas;ribeirao preto - sp;-21.1863761;-47.8019945;leste
vila tamandare;ribeirao preto - sp;-21.1690411;-47.7998708;oeste
vila tiberio;ribeirao preto - sp;-21.1715675;-47.8205067;oeste
vila virginia;ribeirao preto - sp;-21.1827045;-47.8254443;oeste
villas mabel;ribeirao preto - sp;-21.1865804;-47.7441231;leste
boulevard;ribeirao preto - sp;-21.1867005;-47.8145286;sul
