id;itens;grupo
90;ar condicionado;itens_imovel
90;varanda;itens_imovel
90;churrasqueira;itens_lazer
91;quintal;itens_imovel
91;piscina;itens_lazer
91;armario;itens_imovel
91;varanda;itens_imovel
91;iluminacao;itens_imovel
91;churrasqueira;itens_lazer
93;iluminacao;itens_imovel
93;sacada;itens_imovel
93;box;itens_imovel
93;elevador;itens_seg_e_cond
94;sacada;itens_imovel
94;sala de estar;itens_imovel
94;box;itens_imovel
94;armario;itens_imovel
94;ar condicionado;itens_imovel
94;iluminacao;itens_imovel
95;quintal;itens_imovel
96;sala de estar;itens_imovel
97;sala de estar;itens_imovel
98;sala de estar;itens_imovel
99;lavabo;itens_imovel
99;quintal;itens_imovel
99;armario;itens_imovel
99;churrasqueira;itens_lazer
99;box;itens_imovel
100;quintal;itens_imovel
100;varanda;itens_imovel
101;sala de estar;itens_imovel
101;iluminacao;itens_imovel
101;box;itens_imovel
101;armario;itens_imovel
102;box;itens_imovel
102;iluminacao;itens_imovel
102;armario;itens_imovel
102;elevador;itens_seg_e_cond
102;sacada;itens_imovel
102;sala de estar;itens_imovel
106;lavabo;itens_imovel
106;quintal;itens_imovel
106;varanda;itens_imovel
109;varanda;itens_imovel
109;quintal;itens_imovel
110;box;itens_imovel
110;armario;itens_imovel
110;sala de estar;itens_imovel
110;iluminacao;itens_imovel
111;box;itens_imovel
111;quintal;itens_imovel
111;armario;itens_imovel
112;sacada;itens_imovel
112;sala de estar;itens_imovel
113;elevador;itens_seg_e_cond
113;box;itens_imovel
113;ventilador de teto;itens_imovel
113;armario;itens_imovel
113;iluminacao;itens_imovel
113;sacada;itens_imovel
115;piscina;itens_lazer
115;churrasqueira;itens_lazer
115;quintal;itens_imovel
115;box;itens_imovel
115;armario;itens_imovel
116;ventilador de teto;itens_imovel
116;churrasqueira;itens_lazer
116;ar condicionado;itens_imovel
116;armario;itens_imovel
116;quintal;itens_imovel
116;escritorio;itens_imovel
117;sacada;itens_imovel
117;elevador;itens_seg_e_cond
120;varanda;itens_imovel
120;armario;itens_imovel
120;piscina;itens_lazer
120;churrasqueira;itens_lazer
120;iluminacao;itens_imovel
121;iluminacao;itens_imovel
121;ventilador de teto;itens_imovel
121;box;itens_imovel
121;elevador;itens_seg_e_cond
121;armario;itens_imovel
123;iluminacao;itens_imovel
123;box;itens_imovel
123;ar condicionado;itens_imovel
123;sacada;itens_imovel
123;elevador;itens_seg_e_cond
123;armario;itens_imovel
123;ventilador de teto;itens_imovel
124;ventilador de teto;itens_imovel
124;armario;itens_imovel
124;quintal;itens_imovel
124;iluminacao;itens_imovel
124;sacada;itens_imovel
124;elevador;itens_seg_e_cond
124;sala de estar;itens_imovel
125;varanda;itens_imovel
125;sacada;itens_imovel
125;box;itens_imovel
125;sala de estar;itens_imovel
125;elevador;itens_seg_e_cond
125;iluminacao;itens_imovel
126;elevador;itens_seg_e_cond
126;iluminacao;itens_imovel
126;box;itens_imovel
126;varanda;itens_imovel
126;sacada;itens_imovel
126;sala de estar;itens_imovel
127;iluminacao;itens_imovel
127;box;itens_imovel
127;elevador;itens_seg_e_cond
127;varanda;itens_imovel
127;sacada;itens_imovel
127;sala de estar;itens_imovel
128;armario;itens_imovel
128;sacada;itens_imovel
128;box;itens_imovel
128;elevador;itens_seg_e_cond
131;sacada;itens_imovel
131;iluminacao;itens_imovel
131;banheiro de servico;itens_imovel
131;armario;itens_imovel
131;box;itens_imovel
131;sala de estar;itens_imovel
131;ventilador de teto;itens_imovel
132;elevador;itens_seg_e_cond
132;box;itens_imovel
132;sala de estar;itens_imovel
132;iluminacao;itens_imovel
132;banheiro de servico;itens_imovel
132;armario;itens_imovel
134;varanda;itens_imovel
134;churrasqueira;itens_lazer
136;armario;itens_imovel
136;iluminacao;itens_imovel
136;quintal;itens_imovel
136;piscina;itens_lazer
136;ar condicionado;itens_imovel
136;varanda;itens_imovel
136;churrasqueira;itens_lazer
137;box;itens_imovel
137;sala de estar;itens_imovel
137;sacada;itens_imovel
141;sala de estar;itens_imovel
141;iluminacao;itens_imovel
141;box;itens_imovel
141;ar condicionado;itens_imovel
141;sacada;itens_imovel
141;armario;itens_imovel
143;ar condicionado;itens_imovel
143;piscina;itens_lazer
143;varanda;itens_imovel
143;armario;itens_imovel
143;quintal;itens_imovel
143;churrasqueira;itens_lazer
143;escritorio;itens_imovel
144;armario;itens_imovel
144;elevador;itens_seg_e_cond
147;armario;itens_imovel
147;box;itens_imovel
147;elevador;itens_seg_e_cond
147;iluminacao;itens_imovel
147;ventilador de teto;itens_imovel
147;ar condicionado;itens_imovel
147;sacada;itens_imovel
148;sala de estar;itens_imovel
148;varanda;itens_imovel
148;sacada;itens_imovel
149;sala de estar;itens_imovel
149;varanda;itens_imovel
149;sacada;itens_imovel
150;box;itens_imovel
150;armario;itens_imovel
150;ar condicionado;itens_imovel
150;sala de estar;itens_imovel
150;iluminacao;itens_imovel
152;iluminacao;itens_imovel
152;sala de estar;itens_imovel
152;armario;itens_imovel
152;box;itens_imovel
153;piscina;itens_lazer
153;piscina;itens_lazer
153;churrasqueira;itens_lazer
153;playground;itens_lazer
153;fitness;itens_lazer
155;armario;itens_imovel
155;sacada;itens_imovel
158;elevador;itens_seg_e_cond
158;armario;itens_imovel
158;ventilador de teto;itens_imovel
158;box;itens_imovel
158;sacada;itens_imovel
158;sala de estar;itens_imovel
158;ar condicionado;itens_imovel
158;banheiro de servico;itens_imovel
160;box;itens_imovel
160;ar condicionado;itens_imovel
160;sala de estar;itens_imovel
160;armario;itens_imovel
160;sacada;itens_imovel
161;sacada;itens_imovel
161;sala de estar;itens_imovel
161;box;itens_imovel
161;armario;itens_imovel
161;elevador;itens_seg_e_cond
161;iluminacao;itens_imovel
161;ar condicionado;itens_imovel
163;lavabo;itens_imovel
163;armario;itens_imovel
163;quintal;itens_imovel
163;box;itens_imovel
164;armario;itens_imovel
164;lavabo;itens_imovel
164;churrasqueira;itens_lazer
164;box;itens_imovel
164;quintal;itens_imovel
164;ar condicionado;itens_imovel
165;sacada;itens_imovel
165;sala de estar;itens_imovel
165;armario;itens_imovel
166;armario;itens_imovel
166;ventilador de teto;itens_imovel
166;box;itens_imovel
167;armario;itens_imovel
167;box;itens_imovel
167;ar condicionado;itens_imovel
167;ventilador de teto;itens_imovel
168;armario;itens_imovel
168;sala de estar;itens_imovel
168;iluminacao;itens_imovel
168;box;itens_imovel
168;elevador;itens_seg_e_cond
168;sacada;itens_imovel
169;varanda;itens_imovel
169;ventilador de teto;itens_imovel
169;armario;itens_imovel
169;ar condicionado;itens_imovel
169;quintal;itens_imovel
169;box;itens_imovel
170;box;itens_imovel
170;sacada;itens_imovel
170;varanda;itens_imovel
170;sala de estar;itens_imovel
171;armario;itens_imovel
171;varanda;itens_imovel
171;quintal;itens_imovel
171;churrasqueira;itens_lazer
171;iluminacao;itens_imovel
171;escritorio;itens_imovel
171;piscina;itens_lazer
171;ar condicionado;itens_imovel
173;quintal;itens_imovel
173;piscina;itens_lazer
173;ar condicionado;itens_imovel
173;varanda;itens_imovel
173;churrasqueira;itens_lazer
173;iluminacao;itens_imovel
173;armario;itens_imovel
173;escritorio;itens_imovel
175;sala de estar;itens_imovel
176;elevador;itens_seg_e_cond
176;iluminacao;itens_imovel
176;sacada;itens_imovel
176;sala de estar;itens_imovel
176;ar condicionado;itens_imovel
176;box;itens_imovel
176;armario;itens_imovel
179;quintal;itens_imovel
179;piscina;itens_lazer
179;iluminacao;itens_imovel
179;armario;itens_imovel
180;iluminacao;itens_imovel
180;sala de estar;itens_imovel
180;sacada;itens_imovel
180;elevador;itens_seg_e_cond
180;armario;itens_imovel
180;banheiro de servico;itens_imovel
180;varanda;itens_imovel
180;ar condicionado;itens_imovel
180;box;itens_imovel
181;sacada;itens_imovel
181;armario;itens_imovel
184;armario;itens_imovel
184;iluminacao;itens_imovel
184;sala de estar;itens_imovel
184;ventilador de teto;itens_imovel
186;iluminacao;itens_imovel
186;quintal;itens_imovel
186;armario;itens_imovel
189;quintal;itens_imovel
189;ar condicionado;itens_imovel
190;sala de estar;itens_imovel
190;box;itens_imovel
190;armario;itens_imovel
190;ventilador de teto;itens_imovel
190;iluminacao;itens_imovel
191;armario;itens_imovel
191;sacada;itens_imovel
191;box;itens_imovel
191;iluminacao;itens_imovel
191;mobiliado;itens_imovel
192;piscina;itens_lazer
192;ventilador de teto;itens_imovel
192;quintal;itens_imovel
192;churrasqueira;itens_lazer
192;armario;itens_imovel
192;lavabo;itens_imovel
192;box;itens_imovel
192;varanda;itens_imovel
192;ar condicionado;itens_imovel
195;armario;itens_imovel
195;churrasqueira;itens_lazer
195;quintal;itens_imovel
195;varanda;itens_imovel
195;iluminacao;itens_imovel
195;ventilador de teto;itens_imovel
195;ar condicionado;itens_imovel
196;armario;itens_imovel
196;sala de estar;itens_imovel
196;ventilador de teto;itens_imovel
196;box;itens_imovel
197;sala de estar;itens_imovel
197;box;itens_imovel
197;iluminacao;itens_imovel
198;armario;itens_imovel
198;iluminacao;itens_imovel
198;sala de estar;itens_imovel
198;box;itens_imovel
199;sala de estar;itens_imovel
199;box;itens_imovel
199;armario;itens_imovel
202;armario;itens_imovel
202;banheiro de servico;itens_imovel
202;box;itens_imovel
202;sacada;itens_imovel
202;ventilador de teto;itens_imovel
202;ar condicionado;itens_imovel
202;sala de estar;itens_imovel
203;churrasqueira;itens_lazer
203;box;itens_imovel
203;quintal;itens_imovel
203;armario;itens_imovel
204;ar condicionado;itens_imovel
204;piscina;itens_lazer
204;churrasqueira;itens_lazer
204;quintal;itens_imovel
204;escritorio;itens_imovel
205;iluminacao;itens_imovel
205;box;itens_imovel
205;sacada;itens_imovel
205;elevador;itens_seg_e_cond
205;armario;itens_imovel
205;sala de estar;itens_imovel
205;ar condicionado;itens_imovel
207;piscina;itens_lazer
207;portaria;itens_seg_e_cond
207;playground;itens_lazer
207;piscina;itens_lazer
207;churrasqueira;itens_lazer
208;armario;itens_imovel
208;sala de estar;itens_imovel
208;banheiro de servico;itens_imovel
208;box;itens_imovel
208;iluminacao;itens_imovel
208;ventilador de teto;itens_imovel
210;iluminacao;itens_imovel
210;armario;itens_imovel
210;varanda;itens_imovel
210;churrasqueira;itens_lazer
210;piscina;itens_lazer
210;quintal;itens_imovel
211;sacada;itens_imovel
211;sala de estar;itens_imovel
212;ventilador de teto;itens_imovel
212;ar condicionado;itens_imovel
212;armario;itens_imovel
212;box;itens_imovel
212;elevador;itens_seg_e_cond
212;sala de estar;itens_imovel
214;box;itens_imovel
214;lavabo;itens_imovel
214;varanda;itens_imovel
214;piscina;itens_lazer
214;quintal;itens_imovel
215;churrasqueira;itens_lazer
215;iluminacao;itens_imovel
215;piscina;itens_lazer
215;quintal;itens_imovel
215;armario;itens_imovel
216;elevador;itens_seg_e_cond
216;varanda;itens_imovel
216;armario;itens_imovel
216;sacada;itens_imovel
216;iluminacao;itens_imovel
216;sala de estar;itens_imovel
216;ar condicionado;itens_imovel
216;box;itens_imovel
217;sacada;itens_imovel
217;sala de estar;itens_imovel
218;sala de estar;itens_imovel
219;ar condicionado;itens_imovel
219;ventilador de teto;itens_imovel
219;iluminacao;itens_imovel
219;armario;itens_imovel
219;box;itens_imovel
219;sacada;itens_imovel
219;elevador;itens_seg_e_cond
221;quintal;itens_imovel
222;quintal;itens_imovel
222;ventilador de teto;itens_imovel
222;piscina;itens_lazer
226;box;itens_imovel
226;sala de estar;itens_imovel
226;sacada;itens_imovel
226;armario;itens_imovel
226;iluminacao;itens_imovel
227;sala de estar;itens_imovel
227;iluminacao;itens_imovel
227;box;itens_imovel
227;armario;itens_imovel
230;piscina;itens_lazer
230;churrasqueira;itens_lazer
230;iluminacao;itens_imovel
230;armario;itens_imovel
230;quintal;itens_imovel
230;ar condicionado;itens_imovel
231;iluminacao;itens_imovel
231;box;itens_imovel
231;sala de estar;itens_imovel
231;armario;itens_imovel
232;armario;itens_imovel
232;ventilador de teto;itens_imovel
232;sala de estar;itens_imovel
232;sacada;itens_imovel
232;ar condicionado;itens_imovel
234;box;itens_imovel
234;armario;itens_imovel
234;iluminacao;itens_imovel
234;sacada;itens_imovel
236;quintal;itens_imovel
236;box;itens_imovel
236;churrasqueira;itens_lazer
236;lavabo;itens_imovel
237;sacada;itens_imovel
237;sala de estar;itens_imovel
238;sala de estar;itens_imovel
238;iluminacao;itens_imovel
238;armario;itens_imovel
238;box;itens_imovel
238;sacada;itens_imovel
239;quintal;itens_imovel
239;varanda;itens_imovel
239;piscina;itens_lazer
239;iluminacao;itens_imovel
239;escritorio;itens_imovel
239;churrasqueira;itens_lazer
239;armario;itens_imovel
241;sacada;itens_imovel
241;elevador;itens_seg_e_cond
242;varanda;itens_imovel
242;quintal;itens_imovel
242;lavabo;itens_imovel
242;armario;itens_imovel
243;iluminacao;itens_imovel
243;armario;itens_imovel
243;elevador;itens_seg_e_cond
243;box;itens_imovel
243;sacada;itens_imovel
245;box;itens_imovel
245;ventilador de teto;itens_imovel
245;armario;itens_imovel
245;iluminacao;itens_imovel
246;quintal;itens_imovel
246;armario;itens_imovel
246;box;itens_imovel
246;varanda;itens_imovel
246;lavabo;itens_imovel
248;quintal;itens_imovel
248;box;itens_imovel
251;box;itens_imovel
251;iluminacao;itens_imovel
251;armario;itens_imovel
251;sala de estar;itens_imovel
252;varanda;itens_imovel
252;iluminacao;itens_imovel
252;quintal;itens_imovel
252;armario;itens_imovel
252;churrasqueira;itens_lazer
253;iluminacao;itens_imovel
253;box;itens_imovel
253;armario;itens_imovel
253;sala de estar;itens_imovel
254;sala de estar;itens_imovel
254;ventilador de teto;itens_imovel
254;box;itens_imovel
254;armario;itens_imovel
254;varanda;itens_imovel
255;iluminacao;itens_imovel
255;piscina;itens_lazer
255;churrasqueira;itens_lazer
257;quintal;itens_imovel
261;box;itens_imovel
262;ventilador de teto;itens_imovel
262;box;itens_imovel
263;sala de estar;itens_imovel
263;box;itens_imovel
263;iluminacao;itens_imovel
263;armario;itens_imovel
264;quintal;itens_imovel
264;churrasqueira;itens_lazer
270;sala de estar;itens_imovel
271;armario;itens_imovel
271;sala de estar;itens_imovel
272;quintal;itens_imovel
272;box;itens_imovel
272;ar condicionado;itens_imovel
272;churrasqueira;itens_lazer
273;armario;itens_imovel
273;box;itens_imovel
273;iluminacao;itens_imovel
273;sala de estar;itens_imovel
274;sala de estar;itens_imovel
274;varanda;itens_imovel
274;elevador;itens_seg_e_cond
275;varanda;itens_imovel
275;sala de estar;itens_imovel
275;elevador;itens_seg_e_cond
276;sala de estar;itens_imovel
276;varanda;itens_imovel
276;elevador;itens_seg_e_cond
277;sala de estar;itens_imovel
277;elevador;itens_seg_e_cond
277;varanda;itens_imovel
278;box;itens_imovel
278;ventilador de teto;itens_imovel
278;quintal;itens_imovel
278;varanda;itens_imovel
278;ar condicionado;itens_imovel
278;armario;itens_imovel
280;box;itens_imovel
280;iluminacao;itens_imovel
281;elevador;itens_seg_e_cond
281;box;itens_imovel
281;iluminacao;itens_imovel
281;armario;itens_imovel
281;banheiro de servico;itens_imovel
281;sacada;itens_imovel
286;sacada;itens_imovel
286;ar condicionado;itens_imovel
286;iluminacao;itens_imovel
286;elevador;itens_seg_e_cond
286;armario;itens_imovel
286;box;itens_imovel
288;elevador;itens_seg_e_cond
288;ventilador de teto;itens_imovel
288;banheiro de servico;itens_imovel
288;armario;itens_imovel
288;iluminacao;itens_imovel
288;sacada;itens_imovel
289;salao de festa;itens_lazer
289;piscina;itens_lazer
289;piscina;itens_lazer
289;campo de futebol;itens_lazer
289;churrasqueira;itens_lazer
291;box;itens_imovel
291;ventilador de teto;itens_imovel
291;iluminacao;itens_imovel
291;armario;itens_imovel
291;sala de estar;itens_imovel
292;ar condicionado;itens_imovel
292;iluminacao;itens_imovel
292;armario;itens_imovel
292;varanda;itens_imovel
292;sala de estar;itens_imovel
292;box;itens_imovel
292;banheiro de servico;itens_imovel
292;sacada;itens_imovel
294;box;itens_imovel
294;armario;itens_imovel
