post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance,scraping_date,ingestion_timestamp
6143,PSEC11,0.6500,1.0100,1.0200,3.0600,1.0800,6.4800,1.1208,13.4500,-0.2795,4.7208,0.7277,64.2200,2.0200,2026,,,,,,,,,,,,,Fundo de Fundos,fundo-de-fundos,63.27,2834477.35,1391026714.74,0.8361,,PSEC11,,1264.1003445507,81610,,0.925,20,2026-02-13,2026-02-13 20:07:10.248417
3236,PULV11,0.7111,0.0000,0.0000,0.0000,0.3700,2.2200,0.8192,9.8300,0.0000,,0.0000,,12.5200,2025,,,,,,,,,,,,,Papéis,papeis,8.72,61949,120562664.39,0.8677,,PULV11,14,2194.0130175265,972,,1.5,20,2026-02-13,2026-02-13 20:07:10.248417
434,PVBI11,0.4500,0.5400,0.5500,1.6500,0.5733,3.4400,0.6225,7.4700,1.8049,5.6622,2.3546,83.4800,1.0900,2026,0.4176,107.7500,4.2170,2923278235.3300,13.5779,4.6523,1.2524,0.4175,2.5973,0.4329,5.5392,0.4616,Lajes Corporativas,lajes-corporativas,78.68,6044184,2923278235.33,0.7477,0.7302088167053364,PVBI11,7,1707.1632222136,166221,0.80,0.20,,2026-02-13,2026-02-13 20:07:10.248417
117,QAMI11,1.0000,1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6934,14.2215,7.9417,85.1200,11.3200,2023,1.0776,92.8000,1.4208,74367555.4800,14.5780,2.5137,2.6680,0.8893,5.8207,0.9701,11.4713,0.9559,Papéis,papeis,84.68,67019,118155565.38,1.3271,0.9125000000000001,QAMI11,14,112.81376148702,8102,,,,2026-02-13,2026-02-13 20:07:10.248417
55,QIRI11,89.6379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,6.9000,2022,100.0311,89.6100,-0.4109,13441852.9500,116.5836,99.2093,101.6033,33.8678,103.9601,17.3267,108.1435,9.0120,Papéis,papeis,78.04,6867.57,118155565.38,1.223,0.8708849458765764,QIRI11,14,9.645270602362,8102,,,,2026-02-13,2026-02-13 20:07:10.248417
3829,QNTS11,0.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2026,,,,,,,,,,,,,Indefinido,indefinido,0,,243102842.27,0,,QNTS11,2,,136,,,,2026-02-13,2026-02-13 20:07:10.248417
169,RBCO11,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2023,0.2217,90.2202,1.0273,340942316.6400,-7.0758,1.2512,0.7383,0.2461,1.9677,0.3279,,,Lajes Corporativas,lajes-corporativas,0,,0,0,,RBCO11,,,0,,,,2026-02-13,2026-02-13 20:07:10.248417
120,RBDS11,2.3541,12.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,18.6400,12.6300,2021,0.0000,22.9843,0.0000,2908038.1700,0.0000,0.0000,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,2.39,265.38,2388743.13,0.1186,0.10398402387716833,RBDS11,14,14475.517931877,811,,,20,2026-02-13,2026-02-13 20:07:10.248417
407,RBFF11,0.1060,0.0000,0.5800,0.5800,0.2017,1.2100,0.2075,2.4900,0.0000,,0.0000,,0.3800,2026,0.7872,64.7900,1.5040,242923130.8500,9.4734,2.3030,2.4192,0.8064,4.9389,0.8231,10.1697,0.8475,Fundo de Fundos,fundo-de-fundos,10.65,404215.2,242923130.85,0.1698,0.1643772187065905,RBFF11,14,8425.2439742604,25108,,0.78,20,2026-02-13,2026-02-13 20:07:10.248417
6632,RBFY11,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2026,,,,,,,,,,,,,Imóveis Residenciais,imoveis-residenciais,71,415.75,92149708.71,0.7473,,RBFY11,2,4645.159000726,82,1,,,2026-02-13,2026-02-13 20:07:10.248417
475,RBGS11,0.1766,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8966,-1.2883,-1.2883,28.4500,0.6200,2022,0.1762,90.7841,0.0030,97865283.7100,1.1741,0.1792,0.4627,0.1542,,,,,Shoppings,shoppings,28.45,,118155565.38,0.4459,0.31338086735452575,RBGS11,14,,8102,,,,2026-02-13,2026-02-13 20:07:10.248417
186,RBHG11,0.8000,1.1500,1.2133,3.6400,1.2317,7.3900,1.2475,14.9700,4.5345,13.3513,5.7366,69.3900,2.3600,2026,0.9247,86.5100,-6.0491,187558208.4000,4.9390,-5.1803,2.7718,0.9239,5.5402,0.9234,11.1080,0.9257,Papéis,papeis,68.2,233735.09,187841207.55,0.783,0.788348167841868,RBHG11,14,1584.8355111809,7830,0.68,0.12,,2026-02-13,2026-02-13 20:07:10.248417
