id;itens
98; 'gas encanado'
105; 'elevador social: 2'
105; 'piscina adulto'
105;'apartamento por andar: 16'
105; 'torre(s): 1'
105; 'quantidade de andares: 5'
105; 'bicicletario'
105; 'espaco kids'
105; 'gas encanado'
105; 'medidor de agua individual'
105; 'portao eletronico'
105; 'cameras de seguranca'
105; 'portaria: 24hrs.'
105; 'pista de caminhada'
106; 'gas encanado'
106; 'quantidade de andares: 12'
106; 'elevador social: 1'
106; 'cameras de seguranca'
106; 'elevador de servico: 1'
106; 'torre(s): 1'
106; 'portaria: 24hrs.'
106; 'portao eletronico'
106;'apartamento por andar: 4'
106; 'cerca eletrica'
106; 'salao de festa'
109; 'salao de jogos'
109; 'cerca eletrica'
109; 'gas encanado'
109; 'piscina adulto'
109; 'playground'
109; 'cameras de seguranca'
109; 'fitness'
109; 'portaria: 24hrs.'
109; 'salao de festa'
109;'churrasqueira'
110; 'playground'
110; 'fitness'
110;'apartamento por andar: 19'
110; 'salao de festa'
110; 'elevador social: 2'
110; 'piscina adulto'
110; 'quadra poliesportiva'
110; 'piscina infantil'
110; 'churrasqueira'
110; 'quantidade de andares: 26'
110; 'portaria: 24hrs.'
110; 'espaco kids'
110; 'elevador de servico: 2'
110; 'spa'
110; 'sauna'
110; 'cameras de seguranca'
110; 'torre(s): 1'
110; 'jacuzzi'
110; 'salao de jogos'
110; 'espaco gourmet'
113;'churrasqueira'
113; 'cerca eletrica'
113; 'salao de jogos'
113; 'piscina infantil'
113; 'playground'
113; 'salao de festa'
113; 'portaria: 24hrs.'
113; 'fitness'
113; 'gas encanado'
113; 'piscina adulto'
113; 'sauna'
113; 'cameras de seguranca'
114;'apartamento por andar: 4'
114; 'quantidade de andares: 4'
114; 'portaria: 24hrs.'
114; 'torre(s): 1'
114; 'elevador social: 1'
116;'apartamento por andar: 4'
116; 'cameras de seguranca'
116; 'salao de festa'
116; 'torre(s): 4'
116; 'playground'
116; 'gas encanado'
116; 'fitness'
116; 'salao de jogos'
116; 'quantidade de andares: 10'
116; 'cerca eletrica'
116; 'portaria: 24hrs.'
116; 'piscina infantil'
116; 'sauna'
116; 'quadra poliesportiva'
116; 'piscina adulto'
116; 'elevador social: 2'
116; 'jacuzzi'
116; 'elevador de servico: 1'
116; 'portao eletronico'
116; 'churrasqueira'
116; 'espaco gourmet'
117; 'churrasqueira'
117; 'espaco gourmet'
117; 'quantidade de andares: 17'
117; 'playground'
117; 'gas encanado'
117; 'torre(s): 1'
117;'apartamento por andar: 6'
117; 'elevador social: 1'
117; 'salao de festa'
117; 'espaco kids'
117; 'medidor de agua individual'
117; 'bicicletario'
117; 'piscina adulto'
117; 'elevador de servico: 1'
117; 'portaria: 24hrs.'
117; 'piscina infantil'
117; 'portao eletronico'
118; 'piscina infantil'
118; 'elevador social: 4'
118; 'espaco kids'
118; 'quantidade de andares: 24'
118; 'elevador de servico: 2'
118; 'portao eletronico'
118; 'salao de jogos'
118; 'playground'
118; 'torre(s): 1'
118; 'gas encanado'
118; 'salao de festa'
118; 'quadra poliesportiva'
118; 'sauna'
118; 'cameras de seguranca'
118; 'medidor de agua individual'
118; 'fitness'
118; 'portaria: 24hrs.'
118; 'espaco gourmet'
118; 'churrasqueira'
118; 'cerca eletrica'
118;'apartamento por andar: 8'
118; 'piscina adulto'
119; 'espaco gourmet'
119; 'cerca eletrica'
119; 'fitness'
119; 'elevador social: 4'
119; 'torre(s): 1'
119; 'quadra poliesportiva'
119; 'salao de festa'
119; 'cameras de seguranca'
119; 'piscina infantil'
119; 'salao de jogos'
119; 'portaria: 24hrs.'
119; 'churrasqueira'
119; 'quantidade de andares: 24'
119; 'elevador de servico: 2'
119; 'piscina adulto'
119;'apartamento por andar: 8'
119; 'portao eletronico'
119; 'playground'
119; 'sauna'
119; 'gas encanado'
119; 'espaco kids'
119; 'medidor de agua individual'
120; 'salao de jogos'
120; 'torre(s): 1'
120; 'cameras de seguranca'
120; 'cerca eletrica'
120; 'playground'
120; 'portao eletronico'
120; 'quantidade de andares: 24'
120; 'espaco gourmet'
120; 'piscina infantil'
120; 'churrasqueira'
120; 'salao de festa'
120; 'elevador de servico: 2'
120; 'elevador social: 4'
120; 'espaco kids'
120; 'piscina adulto'
120; 'fitness'
120; 'sauna'
120; 'medidor de agua individual'
120; 'portaria: 24hrs.'
120; 'gas encanado'
120;'apartamento por andar: 8'
120; 'quadra poliesportiva'
121; 'quantidade de andares: 16'
121; 'espaco gourmet'
121; 'elevador social: 1'
121; 'portaria: 24hrs.'
121; 'sauna'
121; 'salao de festa'
121; 'torre(s): 1'
121; 'elevador de servico: 1'
121; 'piscina adulto'
121; 'cameras de seguranca'
121; 'churrasqueira'
121; 'gas encanado'
121; 'fitness'
121; 'piscina infantil'
121; 'cerca eletrica'
121;'apartamento por andar: 4'
121; 'salao de jogos'
121; 'playground'
124; 'quantidade de andares: 15'
124; 'gas encanado'
124; 'cerca eletrica'
124; 'cameras de seguranca'
124; 'elevador de servico: 1'
124; 'salao de festa'
124; 'portao eletronico'
124;'apartamento por andar: 2'
124; 'portaria: 24hrs.'
124; 'playground'
124; 'elevador social: 1'
124; 'torre(s): 1'
125; 'portaria: 24hrs.'
125;'torre(s): 1'
125; 'elevador social: 1'
125; 'elevador de servico: 1'
129; 'espaco gourmet'
129; 'cerca eletrica'
129;'churrasqueira'
129; 'medidor de agua individual'
129; 'piscina adulto'
129; 'quadra poliesportiva'
129; 'jacuzzi'
129; 'portaria: 24hrs.'
129; 'fitness'
129; 'salao de festa'
129; 'salao de jogos'
129; 'cameras de seguranca'
129; 'piscina infantil'
129; 'playground'
130; 'salao de festa'
130; 'torre(s): 4'
130; 'quantidade de andares: 10'
130; 'salao de jogos'
130; 'gas encanado'
130; 'piscina infantil'
130;'apartamento por andar: 4'
130; 'cameras de seguranca'
130; 'quadra poliesportiva'
130; 'portaria: 24hrs.'
130; 'churrasqueira'
130; 'espaco gourmet'
130; 'playground'
130; 'elevador social: 2'
130; 'piscina adulto'
130; 'cerca eletrica'
130; 'sauna'
130; 'jacuzzi'
130; 'fitness'
130; 'portao eletronico'
130; 'elevador de servico: 1'
134;'apartamento por andar: 4'
134; 'gas encanado'
134; 'fitness'
134; 'elevador de servico: 1'
134; 'piscina adulto'
134; 'salao de festa'
134; 'torre(s): 3'
134; 'elevador social: 1'
134; 'portaria: 24hrs.'
134; 'churrasqueira'
134; 'salao de jogos'
134; 'playground'
134; 'piscina infantil'
134; 'quantidade de andares: 20'
135; 'portao eletronico'
135; 'playground'
135; 'espaco gourmet'
135; 'churrasqueira'
135;'campo de futebol'
135; 'bicicletario'
135; 'salao de jogos'
135; 'salao de festa'
135; 'espaco kids'
135; 'gerador'
135; 'fitness'
136; 'quadra poliesportiva'
136; 'cameras de seguranca'
136; 'piscina adulto'
136; 'cerca eletrica'
136;'campo de futebol'
136; 'portaria: 24hrs.'
136; 'salao de jogos'
136; 'churrasqueira'
136; 'salao de festa'
136; 'fitness'
136; 'piscina infantil'
137; 'elevador de servico: 1'
137; 'portaria: 24hrs.'
137; 'quantidade de andares: 10'
137; 'elevador social: 1'
137;'apartamento por andar: 4'
141;'apartamento por andar: 4'
141; 'torre(s): 1'
141; 'quantidade de andares: 26'
141; 'salao de festa'
141; 'piscina infantil'
141; 'elevador social: 4'
141; 'espaco gourmet'
141; 'sauna'
141; 'playground'
141; 'quadra poliesportiva'
141; 'churrasqueira'
141; 'cameras de seguranca'
141; 'portaria: 24hrs.'
141; 'salao de jogos'
141; 'portao eletronico'
141; 'elevador de servico: 2'
141; 'fitness'
141; 'cerca eletrica'
141; 'piscina adulto'
142; 'elevador de servico: 2'
142; 'portaria: 24hrs.'
142; 'playground'
142;'apartamento por andar: 4'
142; 'piscina infantil'
142; 'churrasqueira'
142; 'torre(s): 1'
142; 'sauna'
142; 'cerca eletrica'
142; 'fitness'
142; 'cameras de seguranca'
142; 'piscina adulto'
142; 'elevador social: 4'
142; 'quadra poliesportiva'
142; 'portao eletronico'
142; 'espaco gourmet'
142; 'salao de festa'
142; 'quantidade de andares: 26'
142; 'salao de jogos'
143;'portaria: 24hrs.'
145; 'torre(s): 1'
145;'apartamento por andar: 2'
145; 'quantidade de andares: 2'
151; 'gas encanado'
151; 'torre(s): 1'
151; 'salao de festa'
151; 'cameras de seguranca'
151; 'portaria: 24hrs.'
151; 'piscina adulto'
151; 'salao de jogos'
151; 'cerca eletrica'
151;'quantidade de andares: 15'
151; 'elevador social: 1'
151; 'sauna'
151; 'churrasqueira'
151; 'elevador de servico: 1'
151; 'medidor de agua individual'
154; 'torre(s): 2'
154;'apartamento por andar: 16'
154; 'elevador de servico: 1'
154; 'elevador social: 2'
154; 'portaria: 24hrs.'
154; 'fitness'
154; 'cerca eletrica'
154; 'quantidade de andares: 14'
154; 'salao de jogos'
154; 'portao eletronico'
154; 'salao de festa'
154; 'cameras de seguranca'
154; 'piscina adulto'
154; 'churrasqueira'
154; 'medidor de agua individual'
165; 'quantidade de andares: 10'
165; 'elevador social: 1'
165; 'portaria: 24hrs.'
165;'apartamento por andar: 4'
165; 'elevador de servico: 1'
166; 'portao eletronico'
166; 'cameras de seguranca'
166; 'cerca eletrica'
166; 'piscina adulto'
166; 'portaria: 24hrs.'
166; 'fitness'
166;'churrasqueira'
166; 'gas encanado'
166; 'espaco gourmet'
166; 'salao de jogos'
166; 'playground'
166; 'salao de festa'
166; 'medidor de agua individual'
166; 'piscina infantil'
166; 'jacuzzi'
172;'cameras de seguranca'
172; 'portaria: 24hrs.'
172; 'cerca eletrica'
177; 'gas encanado'
177; 'cerca eletrica'
177; 'quantidade de andares: 2'
177; 'cameras de seguranca'
177; 'torre(s): 1'
177;'apartamento por andar: 6'
183;'portaria: 24hrs.'
188; 'playground'
188; 'salao de festa'
188;'piscina adulto'
188; 'portaria: 24hrs.'
189;'apartamento por andar: 4'
189; 'portaria: 24hrs.'
189; 'gas encanado'
189; 'elevador social: 1'
189; 'torre(s): 1'
189; 'elevador de servico: 1'
189; 'cameras de seguranca'
189; 'cerca eletrica'
189; 'quantidade de andares: 15'
190;'apartamento por andar: 6'
190; 'portaria: 24hrs.'
190; 'quantidade de andares: 10'
190; 'elevador de servico: 1'
190; 'elevador social: 1'
192; 'torre(s): 8'
192; 'salao de festa'
192;'apartamento por andar: 4'
192; 'cameras de seguranca'
192; 'salao de jogos'
192; 'portaria: 24hrs.'
192; 'quantidade de andares: 4'
192; 'gas encanado'
192; 'playground'
192; 'espaco gourmet'
192; 'cerca eletrica'
195; 'quantidade de andares: 2'
195;'apartamento por andar: 2'
195; 'portao eletronico'
195; 'torre(s): 1'
195; 'gas encanado'
195; 'cerca eletrica'
198; 'piscina infantil'
198; 'cerca eletrica'
198; 'playground'
198; 'piscina adulto'
198; 'cameras de seguranca'
198; 'gas encanado'
198; 'portao eletronico'
198; 'salao de festa'
198; 'fitness'
198; 'salao de jogos'
198; 'medidor de agua individual'
198; 'elevador social: 2'
198; 'elevador de servico: 1'
198; 'portaria: 24hrs.'
198; 'quadra poliesportiva'
198;'churrasqueira'
201; 'playground'
201; 'salao de festa'
201; 'portaria: 24hrs.'
201; 'sauna'
201; 'quantidade de andares: 5'
201;'apartamento por andar: 4'
201; 'torre(s): 8'
201; 'piscina adulto'
201; 'churrasqueira'
203; 'portaria: 1hrs.'
203; 'portao eletronico'
203;'piscina adulto'
203; 'piscina infantil'
203; 'quadra tenis'
203; 'quadra poliesportiva'
204; 'elevador social: 1'
204; 'portaria: 24hrs.'
